service_id,date,exception_type
3894A5283,20161113,2
3893A5283,20161226,1
3908A5283,20161128,2
3941A5283,20161226,2
3529A4969,20160704,1
3528A4969,20160530,2
3528A4969,20161226,2
3941A5283,20161124,2
3529A4969,20161124,1
3893A5283,20161112,2
3893A5283,20160903,2
3528A4969,20160704,2
3894A5283,20160904,2
3528A4969,20160905,2
3908A5283,20161114,2
3893A5283,20161126,2
3894A5283,20161127,2
3893A5283,20161124,1
3908A5283,20160905,2
3529A4969,20160905,1
3906A5291,20160905,1
3529A4969,20160530,1
3529A4969,20161226,1
3528A4969,20161124,2
3943A5291,20160905,2
