route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
1024,3907A5291,159461A3907B5291,,Journal Square via Hoboken,0,,0,0
4768,3893A5283,573021A3893B5283,,Journal Square,0,,1,0
1024,3907A5293,159452A3907B5293,,33rd via Hoboken,1,,2,0
860,3893A5283,572693A3893B5283,,Hoboken,0,,3,0
1024,3906A5293,159773A3906B5293,,Journal Square via Hoboken,0,,4,0
861,3528A4969,160102A3528B4969,,33rd Street,1,,5,0
861,3528A4969,160303A3528B4969,,Journal Square,0,,6,0
859,3528A4969,158462A3528B4969,,Hoboken,0,,7,0
4768,3894A5283,573135A3894B5283,,Journal Square,0,,1,0
860,3528A4969,158729A3528B4969,,Hoboken,0,,3,0
861,3528A4969,160242A3528B4969,,Journal Square,0,,6,0
1024,3906A5282,159604A3906B5282,,33rd via Hoboken,1,,2,0
1024,3907A5292,159489A3907B5292,,Journal Square via Hoboken,0,,4,0
1024,3906A5291,159713A3906B5291,,Journal Square via Hoboken,0,,4,0
1024,3907A5291,159440A3907B5291,,33rd via Hoboken,1,,2,0
1024,3907A5292,159459A3907B5292,,Journal Square via Hoboken,0,,4,0
862,3528A4969,159212A3528B4969,,World Trade Center,1,,8,0
1024,3907A5293,159374A3907B5293,,33rd via Hoboken,1,,2,0
861,3528A4969,160222A3528B4969,,Journal Square,0,,6,0
1024,3941A5283,582186A3941B5283,,33rd via Hoboken,1,,2,0
1024,3906A5292,159677A3906B5292,,Journal Square via Hoboken,0,,4,0
1024,3906A5292,159727A3906B5292,,Journal Square via Hoboken,0,,4,0
860,3894A5283,572759A3894B5283,,Hoboken,0,,3,0
862,3528A4969,159188A3528B4969,,World Trade Center,1,,8,0
860,3894A5283,572586A3894B5283,,World Trade Center,1,,9,0
1024,3906A5293,159698A3906B5293,,Journal Square via Hoboken,0,,4,0
860,3893A5283,572681A3893B5283,,Hoboken,0,,3,0
862,3529A4969,158871A3529B4969,,Newark,0,,10,0
859,3528A4969,158362A3528B4969,,33rd Street,1,,11,0
1024,3906A5293,159770A3906B5293,,Journal Square via Hoboken,0,,4,0
1024,3906A5282,159769A3906B5282,,Journal Square via Hoboken,0,,4,0
4768,3894A5283,573134A3894B5283,,Journal Square,0,,1,0
4768,3893A5283,572975A3893B5283,,Journal Square,0,,1,0
862,3529A4969,158897A3529B4969,,Newark,0,,10,0
1024,3907A5282,159377A3907B5282,,33rd via Hoboken,1,,2,0
862,3530A4969,158760A3530B4969,,Newark,0,,10,0
862,3530A4969,158769A3530B4969,,Newark,0,,10,0
860,3528A4969,158574A3528B4969,,World Trade Center,1,,9,0
1024,3906A5282,159623A3906B5282,,33rd via Hoboken,1,,2,0
1024,3906A5293,159690A3906B5293,,Journal Square via Hoboken,0,,4,0
861,3528A4969,160246A3528B4969,,Journal Square,0,,6,0
860,3893A5283,572456A3893B5283,,World Trade Center,1,,9,0
1024,3906A5291,159737A3906B5291,,Journal Square via Hoboken,0,,4,0
860,3894A5283,572732A3894B5283,,Hoboken,0,,3,0
862,3528A4969,159019A3528B4969,,Newark,0,,10,0
860,3893A5283,572459A3893B5283,,World Trade Center,1,,9,0
1024,3906A5292,159647A3906B5292,,33rd via Hoboken,1,,2,0
862,3529A4969,158911A3529B4969,,Newark,0,,10,0
1024,3906A5292,159635A3906B5292,,33rd via Hoboken,1,,2,0
862,3529A4969,158912A3529B4969,,Newark,0,,10,0
1024,3906A5291,159731A3906B5291,,Journal Square via Hoboken,0,,4,0
862,3528A4969,159156A3528B4969,,World Trade Center,1,,8,0
4768,3893A5283,572812A3893B5283,,Hoboken,1,,12,0
1024,3906A5291,159767A3906B5291,,Journal Square via Hoboken,0,,4,0
860,3528A4969,158677A3528B4969,,Hoboken,0,,3,0
862,3529A4969,158858A3529B4969,,Newark,0,,10,0
861,3528A4969,160205A3528B4969,,Journal Square,0,,6,0
862,3528A4969,159229A3528B4969,,World Trade Center,1,,8,0
1024,3907A5292,159514A3907B5292,,Journal Square via Hoboken,0,,4,0
1024,3906A5282,159680A3906B5282,,Journal Square via Hoboken,0,,4,0
860,3894A5283,572749A3894B5283,,Hoboken,0,,3,0
860,3894A5283,572544A3894B5283,,World Trade Center,1,,9,0
1024,3906A5291,159636A3906B5291,,33rd via Hoboken,1,,2,0
1024,3943A5282,160033A3943B5282,,33rd via Hoboken,1,,2,0
861,3528A4969,160162A3528B4969,,33rd Street,1,,5,0
860,3894A5283,572706A3894B5283,,Hoboken,0,,3,0
1024,3943A5291,160040A3943B5291,,Journal Square via Hoboken,0,,4,0
1024,3907A5291,159449A3907B5291,,33rd via Hoboken,1,,2,0
859,3528A4969,158299A3528B4969,,33rd Street,1,,11,0
1024,3906A5291,159679A3906B5291,,Journal Square via Hoboken,0,,4,0
1024,3907A5292,159397A3907B5292,,33rd via Hoboken,1,,2,0
1024,3907A5292,159482A3907B5292,,Journal Square via Hoboken,0,,4,0
1024,3906A5292,159657A3906B5292,,33rd via Hoboken,1,,2,0
1024,3907A5291,159378A3907B5291,,33rd via Hoboken,1,,2,0
861,3528A4969,160217A3528B4969,,Journal Square,0,,6,0
4768,3894A5283,573062A3894B5283,,Journal Square,0,,1,0
1024,3906A5282,159605A3906B5282,,33rd via Hoboken,1,,2,0
860,3894A5283,572584A3894B5283,,World Trade Center,1,,9,0
1024,3906A5292,159632A3906B5292,,33rd via Hoboken,1,,2,0
860,3528A4969,158560A3528B4969,,World Trade Center,1,,9,0
4768,3893A5283,572823A3893B5283,,Hoboken,1,,12,0
1024,3906A5293,159613A3906B5293,,33rd via Hoboken,1,,2,0
1024,3907A5291,159508A3907B5291,,Journal Square via Hoboken,0,,4,0
1024,3907A5291,159443A3907B5291,,33rd via Hoboken,1,,2,0
4768,3893A5283,572856A3893B5283,,Hoboken,1,,12,0
860,3528A4969,158559A3528B4969,,World Trade Center,1,,9,0
1024,3906A5282,159753A3906B5282,,Journal Square via Hoboken,0,,4,0
860,3893A5283,572437A3893B5283,,World Trade Center,1,,9,0
1024,3907A5291,159470A3907B5291,,Journal Square via Hoboken,0,,4,0
1024,3906A5293,159665A3906B5293,,33rd via Hoboken,1,,2,0
4768,3908A5283,572970A3908B5283,,Hoboken,1,,12,0
860,3893A5283,572637A3893B5283,,Hoboken,0,,3,0
860,3894A5283,572753A3894B5283,,Hoboken,0,,3,0
861,3528A4969,160193A3528B4969,,Journal Square,0,,6,0
859,3528A4969,158309A3528B4969,,33rd Street,1,,11,0
1024,3907A5293,159387A3907B5293,,33rd via Hoboken,1,,2,0
1024,3907A5293,159456A3907B5293,,Journal Square via Hoboken,0,,4,0
1024,3907A5282,159414A3907B5282,,33rd via Hoboken,1,,2,0
1024,3906A5292,159777A3906B5292,,Journal Square via Hoboken,0,,4,0
861,3528A4969,160215A3528B4969,,Journal Square,0,,6,0
1024,3906A5293,159686A3906B5293,,Journal Square via Hoboken,0,,4,0
1024,3906A5282,159689A3906B5282,,Journal Square via Hoboken,0,,4,0
1024,3907A5292,159498A3907B5292,,Journal Square via Hoboken,0,,4,0
1024,3907A5293,159473A3907B5293,,Journal Square via Hoboken,0,,4,0
861,3528A4969,160127A3528B4969,,33rd Street,1,,5,0
862,3528A4969,159018A3528B4969,,Newark,0,,10,0
1024,3906A5291,159722A3906B5291,,Journal Square via Hoboken,0,,4,0
862,3529A4969,158951A3529B4969,,World Trade Center,1,,8,0
1024,3906A5291,159692A3906B5291,,Journal Square via Hoboken,0,,4,0
1024,3906A5293,159712A3906B5293,,Journal Square via Hoboken,0,,4,0
862,3528A4969,159038A3528B4969,,Newark,0,,10,0
1024,3906A5282,159592A3906B5282,,33rd via Hoboken,1,,2,0
1024,3906A5282,159599A3906B5282,,33rd via Hoboken,1,,2,0
860,3894A5283,572709A3894B5283,,Hoboken,0,,3,0
1024,3906A5282,159756A3906B5282,,Journal Square via Hoboken,0,,4,0
861,3528A4969,160125A3528B4969,,33rd Street,1,,5,0
862,3528A4969,159227A3528B4969,,World Trade Center,1,,8,0
